Designator,Mid X,Mid Y,Rotation,Layer
C7,161.500001,-93.304999,90,bottom
C14,223.768679,-65.657901,90,bottom
C15,222.824034,-102.666695,90,bottom
C16,208.805649,-54.147331,90,bottom
C17,214.221304,-115.702145,90,bottom
C18,189.304085,-57.133534,90,bottom
C19,194.042016,-115.673523,90,bottom
C20,161.021549,-76.842903,-90,bottom
C21,161.500001,-81.399999,0,bottom
C22,180.610286,-71.345528,0,bottom
C23,173.500001,-99.899999,180,bottom
CR1,197.000001,-95.899999,-90,bottom
CR18,204.000001,-95.899999,-90,bottom
CR19,199.558728,-75.441943,90,bottom
CR20,211.25419,-97.393328,-90,bottom
CR24,206.85347,-75.491356,90,bottom
CR25,219.500001,-87.899999,0,bottom
CR26,215.000001,-80.899999,0,bottom
CR39,202.000001,-101.899999,180,bottom
CR40,198.500001,-69.399999,0,bottom
CR41,209.000001,-103.899999,180,bottom
CR42,205.733782,-69.662111,180,bottom
CR43,217.557166,-92.571494,180,bottom
CR44,213.161366,-76.16955,180,bottom
D27,156.500001,-81.399999,0,bottom
D28,155.500001,-86.079999,90,bottom
D29,170.992247,-73.147096,-90,bottom
D30,166.036201,-71.994999,0,bottom
D31,161.500001,-98.304999,90,bottom
D32,166.500001,-99.304999,180,bottom
D33,175.500001,-71.399999,0,bottom
D34,174.500001,-76.399999,90,bottom
D35,178.478022,-99.845527,180,bottom
D36,179.500001,-95.399999,-90,bottom
D39,188.099616,-74.894622,-90,bottom
D40,187.860404,-95.814397,90,bottom
R4,167.687416,-134.130563,0,bottom
R7,241.690872,-128.694182,180,bottom
R11,158.5,-106.99,90,bottom
R26,208.500001,-115.899999,90,bottom
R27,194.284402,-119.899999,90,bottom
R28,203.557327,-57.512995,90,bottom
R29,189.500001,-61.399999,90,bottom
R30,228.481375,-116.181588,90,bottom
R31,214.474753,-119.88167,90,bottom
R32,223.000001,-54.399999,90,bottom
R33,208.981514,-58.254579,90,bottom
R34,237.018451,-103.079657,90,bottom
R35,222.975069,-106.805759,90,bottom
R36,237.967326,-66.094626,90,bottom
R37,223.949686,-69.790574,90,bottom
R38,205.500001,-102.899999,90,bottom
R45,202.000001,-68.399999,-90,bottom
R46,213.000001,-104.899999,90,bottom
R47,209.270325,-68.646457,90,bottom
R48,223.000001,-92.399999,0,bottom
R49,217.500001,-76.399999,0,bottom
R50,157.935028,-91.24466,0,bottom
R51,170.837129,-77.541975,90,bottom
R52,171.367739,-96.851636,90,bottom
R53,176.952856,-81.263277,0,bottom
R54,177.07526,-90.063992,180,bottom
R55,183.680001,-74.812499,-90,bottom
R56,183.500001,-95.812499,90,bottom
R59,192.500001,-74.812499,-90,bottom
R60,192.500001,-95.899999,90,bottom
R64,162.5,-106.49,90,bottom
R74,237.963098,-69.542499,90,bottom
R75,237.009453,-106.550044,90,bottom
R76,223.01366,-57.847018,90,bottom
R77,228.481375,-119.660755,90,bottom
R78,203.557327,-61.003682,90,bottom
R79,208.500001,-119.399999,90,bottom
R80,164.107532,-135.696515,0,bottom
R82,171.161988,-134.152359,0,bottom
U11,201.500001,-118.399999,180,bottom
U12,196.500001,-59.899999,180,bottom
U13,221.500001,-118.399999,180,bottom
U14,216.000001,-56.899999,180,bottom
U15,230.000001,-105.399999,180,bottom
U16,231.000001,-68.399999,180,bottom
U17,159.500001,-86.399999,90,bottom
U18,166.036201,-75.994999,180,bottom
U19,166.500001,-95.304999,180,bottom
U20,178.500001,-76.399999,90,bottom
U21,175.500001,-94.899999,-90,bottom
C1,177,-124.5,-90,top
C2,166.679446,-131.580561,-90,top
C3,166,-128.5,180,top
C4,163.5,-133.5,0,top
C5,247.473932,-132.745486,180,top
C6,155,-107.99,90,top
C8,208.542967,-109.894992,90,top
C9,205.133387,-56.420899,90,top
C10,226.597292,-111.914347,90,top
C11,224.215188,-59.294455,90,top
C12,234.732791,-100.197058,90,top
C13,236.740386,-70.296762,90,top
CR6,203.000001,-95.899999,-90,top
CR8,206.867193,-75.493194,90,top
CR10,199.550415,-75.450538,90,top
CR12,218.000001,-87.899999,0,top
CR14,210.000001,-95.399999,-90,top
CR16,215.000001,-80.899999,0,top
CR27,162.500001,-85.399999,180,top
CR28,169,-77.399999,90,top
CR29,169.000001,-93.524199,-90,top
CR30,176.500001,-77.399999,90,top
CR31,176.500001,-93.399999,-90,top
CR32,197.000001,-95.899999,-90,top
CR33,202.000001,-101.899999,180,top
CR34,198.500001,-69.399999,180,top
CR35,209.000001,-101.399999,180,top
CR36,205.738842,-69.679018,180,top
CR37,216.108571,-92.580801,0,top
CR38,213.157704,-76.168159,0,top
D1,172,-115.5,90,top
D2,197.389901,-116.669999,180,top
D3,203.889901,-116.687898,0,top
D4,215.889901,-118.669999,180,top
D5,221.889901,-118.669999,0,top
D6,193.984042,-63.241426,180,top
D7,213.500001,-65.899999,180,top
D8,219.500001,-65.899999,0,top
D9,230.000001,-106.899999,0,top
D10,223.500001,-106.899999,0,top
D11,226.141189,-76.899999,180,top
D12,232.500001,-76.899999,0,top
D15,200.000001,-63.283584,0,top
D37,183.680001,-74.882499,-90,top
D38,183.455001,-95.812499,90,top
D41,192.680001,-74.812499,-90,top
D42,192.275001,-95.899999,90,top
J1,259.75,-103.35,90,top
J2,276.75,-103.35,90,top
J3,292.75,-103.35,90,top
J4,308.75,-103.35,90,top
J5,324.75,-103.35,90,top
J6,192.749977,-85.95,0,top
L1,160.5,-120,90,top
R1,177.387733,-130.034219,0,top
R2,161,-130,90,top
R3,167.700253,-134.143118,180,top
R5,197.500001,-99.899999,0,top
R6,241.680529,-128.679815,180,top
R8,242.90596,-132.737921,90,top
R9,246,-129.648114,-90,top
R10,158.5,-106.99,90,top
R12,194.231306,-111.312559,90,top
R13,208.398193,-114.169999,90,top
R14,192.761454,-54.851942,90,top
R15,205.000001,-60.812499,90,top
R16,214.353234,-110.499183,90,top
R17,226.490068,-116.306107,90,top
R18,211.867313,-57.597963,90,top
R19,224.064449,-63.529023,90,top
R20,222.457986,-98.739011,90,top
R21,234.498985,-104.399999,90,top
R22,224.348678,-68.682844,90,top
R23,236.584515,-74.399999,90,top
R24,159.610467,-103.49386,-90,top
R25,161.910634,-109.40252,180,top
R39,205.500001,-102.899999,90,top
R40,209.273998,-68.643862,90,top
R41,202.000001,-68.399999,90,top
R42,220.500001,-92.399999,0,top
R43,212.500001,-102.899999,90,top
R44,217.500001,-76.399999,0,top
R57,188.099616,-74.894622,-90,top
R58,187.860404,-95.814397,90,top
R61,241.660478,-126.637384,0,top
R62,239.420009,-126.709212,90,top
R63,161.969597,-102.843645,90,top
R65,164.298543,-109.358213,-90,top
R66,245.169833,-127.03886,180,top
R67,158.325,-109.49,180,top
R68,196.389901,-108.169999,90,top
R69,190.611385,-58.055966,90,top
R70,211.889901,-114.169999,90,top
R71,209.711335,-61.008329,90,top
R72,220.236831,-101.895389,90,top
R73,222.205458,-72.245144,90,top
R81,171.159624,-134.143895,180,top
R83,180.146398,-130.861235,-90,top
R84,177.382161,-132.095083,180,top
R85,178.539966,-134.112178,0,top
R86,252,-71,-90,top
R87,252,-66.4125,-90,top
R88,254,-62.5,-90,top
R89,269,-77.5,-90,top
R90,271.5,-73.5,-90,top
R92,285.5,-77.5875,-90,top
R94,287,-73.4125,-90,top
R95,301.5,-77.5,-90,top
R99,317,-76.05,-90,top
R100,319.047203,-72.318105,-90,top
U1,171.62345,-127.424998,0,top
U2,171.784157,-120.703145,0,top
U3,201.389901,-112.669999,0,top
U4,197.889901,-59.169999,0,top
U5,219.389901,-114.669999,0,top
U6,217.000001,-61.899999,0,top
U7,227.500001,-102.899999,0,top
U8,229.500001,-72.899999,0,top
U9,239.984259,-132.005362,-90,top
U10,162.608857,-106.477513,0,top
