Designator,Mid X,Mid Y,Rotation,Layer 
C4,81.26955,-66.308009,180,bottom
C5,84.788726,-66.319041,0,bottom
C10,83.5,-108,-45,bottom
C11,102.489373,-109.064752,-135,bottom
C12,103.94813,-110.528785,-135,bottom
C13,90,-115,-45,bottom
C14,87.5,-116.5,-135,bottom
C15,95.5,-116.5,-45,bottom
C20,88.811875,-108.129683,135,bottom
C38,88.248043,-94.938607,-135,bottom
C39,67.573078,-104.206514,180,bottom
C40,67.573078,-101.982233,180,bottom
C41,67.573078,-99.706514,180,bottom
C42,74.96,-104.272071,0,bottom
C43,75.96,-101.999999,0,bottom
C44,75.96,-99.499999,0,bottom
C49,93.608652,-68.147111,180,bottom
C51,110.608652,-70.647111,0,bottom
C53,93.608652,-71.647111,180,bottom
C55,131,-106.5,180,bottom
C56,124.568262,-103.830647,90,bottom
C58,121.5,-123.500001,0,bottom
C59,106.108652,-72.147111,0,bottom
C61,106.108652,-68.647111,0,bottom
FB1,76.608652,-68.147111,180,bottom
FB2,91.5,-117.5,45,bottom
R1,113.510003,-83.16607,-90,bottom
R4,93.379891,-85.341934,-135,bottom
R5,110.354705,-120.909499,180,bottom
R6,111.00905,-116.625583,-90,bottom
R8,106.641964,-116.654739,-90,bottom
R10,106.0875,-121,180,bottom
R12,72.5,-91.999999,-90,bottom
R15,125.525001,-121.283849,0,bottom
R17,126.525001,-115.744146,-90,bottom
R19,119.27647,-112.731966,180,bottom
R21,127.550843,-109.302543,0,bottom
R22,130.251246,-103.745426,90,bottom
R24,127.430438,-102.33613,180,bottom
R25,74.108652,-61.647111,90,bottom
R26,70.608652,-61.647111,90,bottom
R27,96.5,-90,-135,bottom
R29,94.794105,-86.756148,-135,bottom
R32,64.96,-96.999999,0,bottom
R33,64.96,-106.999999,180,bottom
U6,90.5,-97,-135,bottom
C1,121.5,-68,180,top
C2,130,-68,180,top
C3,79.998671,-70.011163,-90,top
C6,76.658652,-68.147111,180,top
C7,95.298097,-98.337942,135,top
C8,84.299159,-104.78964,-135,top
C9,102.489373,-109.064752,-135,top
C16,83.39789,-113.986393,-45,top
C17,77.39789,-119.986393,135,top
C18,110.145797,-117.617844,180,top
C19,105.888631,-117.73055,180,top
C21,125.525001,-121.283849,0,top
C22,121.677087,-123.476835,0,top
C23,126.525001,-115.755473,-90,top
C24,119.77003,-114.840422,0,top
C25,122.869981,-112.738542,180,top
C26,134,-95,0,top
C27,133.188818,-100.685191,0,top
C28,122.655533,-98.220496,90,top
C29,127.472688,-104.465209,180,top
C30,130.252235,-103.721385,90,top
C31,124.550843,-103.802543,90,top
C32,115.284643,-97.127875,0,top
C33,115.279524,-95.090562,0,top
C34,111.775534,-95.090562,180,top
C35,111.77631,-97.133664,180,top
C36,103.500002,-88.300001,0,top
C37,103.500001,-90.34508,0,top
C45,76.9,-94.999999,0,top
C46,73.46,-94.999999,180,top
C47,95.108652,-74.647111,-90,top
C48,93.658652,-68.147111,0,top
C50,106.088705,-75.367041,0,top
C52,93.608652,-71.647111,0,top
C54,106.158652,-72.147111,0,top
C57,133.541531,-103.681743,90,top
C60,106.108652,-68.647111,0,top
C62,110.108652,-70.647111,0,top
D1,63,-76.937501,90,top
D2,106.514152,-64.147111,180,top
D3,76.790177,-71.988894,0,top
D4,82.608652,-73.807111,-90,top
D5,107.5,-106.5,90,top
J2,95.25726,-87.975907,-45,top
J3,72.75,-60.745,180,top
J4,61.5,-100.46,-90,top
L2,102.228496,-67.486615,0,top
R2,71.459979,-68.312589,90,top
R3,73.549928,-68.338669,90,top
R7,110.149895,-115.62001,0,top
R9,105.910676,-115.709756,0,top
R11,84.108652,-78.10473,0,top
R13,79.108652,-74.147111,180,top
R14,80.108652,-76.647111,0,top
R16,120.952461,-120.631904,-90,top
R18,127.525001,-118.78385,0,top
R20,119.777964,-117.011906,0,top
R23,127.428905,-102.339642,0,top
R28,107.5,-103,-90,top
R30,64.96,-96.999999,180,top
R31,64.96,-106.999999,180,top
R34,63,-73.437502,-90,top
U1,120.0362,-72.095,0,top
U2,128.27585,-71.905,0,top
U3,72.27,-101.9788,-90,top
U4,84.466152,-65.942011,-90,top
U5,93,-107,45,top
U7,106.0875,-120.897,-90,top
U8,123.5,-117,90,top
U9,110.337499,-120.867844,-90,top
U10,127.550842,-108.802543,-90,top
U11,127.5,-98.5,180,top
U12,133.607299,-97.845286,180,top
U13,113.51,-86.3,180,top
U14,97.507692,-69.742111,0,top
Y1,80.378187,-117,-45,top
Y2,77.738863,-90.099069,-90,top
